corpus: 154 strings; slots pooled over blocks 1..62
slot	class	max	n_distinct(<=40 tracked)	sample
244	wide	128	15	[0, 52, 54, 61, 69, 79, 81, 83, 86, 97]
245	wide	116	14	[0, 40, 42, 50, 55, 75, 82, 84, 94, 97]
246	wide	128	15	[0, 34, 54, 58, 61, 63, 68, 72, 73, 77]
247	const128	128	2	[0, 128]
248	wide	440	35	[0, 8, 16, 24, 32, 40, 56, 64, 80, 88]
249	always0	0	1	[0]
250	always0	0	1	[0]
251	always0	0	1	[0]
252	always0	0	1	[0]
253	always0	0	1	[0]
254	always0	0	1	[0]
255	always0	0	1	[0]
